sample	total_reads	non_rRNA	assembly_CDS	MAG_CDS
P8559_101	20903392	5398288	875785	85089
P8559_102	19313852	3878716	714453	105967
P8559_103	26738928	7173350	1158759	104305
P8559_104	17281529	4408438	751976	74491
P8559_105	17476346	4062034	699021	44452
P8559_106	27891249	6298080	1128187	102238
P8559_107	20342078	4431498	1018599	86218
P8559_108	23691539	5267314	1174519	96932
P8559_109	27867552	6532004	1402210	253964
P8559_110	23303367	4378546	1029105	237717
P8559_111	21958665	4730102	1022360	326692
P8559_112	18474325	3700608	807769	187350
P8559_113	19706409	4384702	1078794	585767
P8559_114	26458259	7612996	1598843	648492
P8559_115	23834894	5446816	1320073	197330
P8559_116	21795422	5153434	1197823	191622
P8559_117	27781259	7296316	1650250	526733
P8559_118	28931013	8461958	1909919	381406
P8559_119	25895996	6905116	1551191	509674
P8559_120	22008804	6028906	1362847	371421
P8559_121	19896197	9197496	1810936	248513
P8559_122	33685729	10606474	2308731	513608
P8559_123	25555515	8603574	1765889	115052
P8559_124	23991630	19741344	3834581	136057
P8559_125	30567264	7671800	1648502	140202
P8559_127	30477086	10072840	1916325	244102
P8559_128	28120622	7995892	1664129	245690
P8559_129	31726046	13431362	2830330	134488
P8559_130	33792965	14343796	3267682	291819
P8559_131	26626491	11010848	2505136	194576
P8559_132	27629715	9922362	2236993	129288
P8559_133	32476319	13233946	2993309	215966
P8559_134	24292500	7978986	1946340	240483
P12052_301	28480121	15636328	2315327	160618
P12052_302	32697304	11961780	2293360	593598
P12052_303	30906201	11814682	2328557	480670
P12052_304	29274664	9566286	1881627	163494
P12052_305	36288712	11287836	2258501	284379
P12052_306	35880730	10809968	2706904	409274
P12052_307	31626484	11458644	2593942	347320
P12052_308	33741644	10407292	1594992	255619
P12052_309	30238707	7455568	1307893	183870
P12052_310	34932105	14593418	1816509	68793
P12052_311	37228689	11031772	1668747	104468
P12052_312	39963109	9800616	1710693	212462
P12052_313	33182354	6918810	1459288	182086
P12052_314	30185166	7341156	1710143	158916
P12052_315	34936902	9527772	2178065	467680
P12052_316	34783574	7449500	1818268	1239627
P12052_317	33192334	7192756	1695545	959093
P12052_318	32895389	7111362	1643008	127597
P12052_319	31959088	8578646	1937783	152209
P12052_320	30668639	6232072	1366651	168103
P12052_321	40459868	8681800	1972178	223696
P12052_322	33574674	6384874	1604334	519184
P12052_323	34514132	6801304	1660329	451571
P12052_324	32133496	12042294	2190423	113968
P12052_325	32117808	11570372	1909450	115980
P12052_326	38553488	15312324	2385451	155648
P12052_327	34368308	14447754	2352688	149382
P12052_328	28798248	10688742	1919211	275423
P12052_329	33750728	12561762	2156217	247103
P12052_330	31730568	13859302	2110721	187606
P12052_331	38402548	13120988	2241543	688405
